char_count,uppercase_frequency,digit_frequency,whitespace_frequency,alphabet_count,a_frequency,b_frequency,c_frequency,d_frequency,e_frequency,f_frequency,g_frequency,h_frequency,i_frequency,j_frequency,k_frequency,l_frequency,m_frequency,n_frequency,o_frequency,p_frequency,q_frequency,r_frequency,s_frequency,t_frequency,u_frequency,v_frequency,w_frequency,x_frequency,y_frequency,z_frequency,~_frequency,@_frequency,#_frequency,$_frequency,%_frequency,^_frequency,&_frequency,*_frequency,-_frequency,__frequency,=_frequency,+_frequency,>_frequency,<_frequency,[_frequency,]_frequency,{_frequency,}_frequency,/_frequency,\_frequency,|_frequency,word_count,avg_word_length,avg_sentence_length,avg_sentence_word_count,unique_words_frequency,punctuation_frequency,a_frequency,between_frequency,in_frequency,nor_frequency,some_frequency,upon_frequency,about_frequency,both_frequency,including_frequency,nothing_frequency,somebody_frequency,us_frequency,above_frequency,but_frequency,inside_frequency,of_frequency,someone_frequency,used_frequency,after_frequency,by_frequency,into_frequency,off_frequency,something_frequency,via_frequency,all_frequency,can_frequency,is_frequency,on_frequency,such_frequency,we_frequency,although_frequency,cos_frequency,it_frequency,once_frequency,than_frequency,what_frequency,am_frequency,do_frequency,its_frequency,one_frequency,that_frequency,whatever_frequency,among_frequency,down_frequency,latter_frequency,onto_frequency,the_frequency,when_frequency,an_frequency,each_frequency,less_frequency,opposite_frequency,their_frequency,where_frequency,and_frequency,either_frequency,like_frequency,or_frequency,them_frequency,whether_frequency,another_frequency,enough_frequency,little_frequency,our_frequency,these_frequency,which_frequency,any_frequency,every_frequency,lots_frequency,outside_frequency,they_frequency,while_frequency,anybody_frequency,everybody_frequency,many_frequency,over_frequency,this_frequency,who_frequency,anyone_frequency,everyone_frequency,me_frequency,own_frequency,those_frequency,whoever_frequency,anything_frequency,everything_frequency,more_frequency,past_frequency,though_frequency,whom_frequency,are_frequency,few_frequency,most_frequency,per_frequency,through_frequency,whose_frequency,around_frequency,following_frequency,much_frequency,plenty_frequency,till_frequency,will_frequency,as_frequency,for_frequency,must_frequency,plus_frequency,to_frequency,with_frequency,at_frequency,from_frequency,my_frequency,regarding_frequency,toward_frequency,within_frequency,be_frequency,have_frequency,near_frequency,same_frequency,towards_frequency,without_frequency,because_frequency,he_frequency,need_frequency,several_frequency,under_frequency,worth_frequency,before_frequency,her_frequency,neither_frequency,she_frequency,unless_frequency,would_frequency,behind_frequency,him_frequency,no_frequency,should_frequency,unlike_frequency,yes_frequency,below_frequency,i_frequency,nobody_frequency,since_frequency,until_frequency,you_frequency,beside_frequency,if_frequency,none_frequency,so_frequency,up_frequency,your_frequency,sentence_count,repeated_punctuation_frequency,pos_LS,pos_TO,pos_VBN,pos_'',pos_WP,pos_UH,pos_VBG,pos_JJ,pos_VBZ,pos_--,pos_VBP,pos_NN,pos_DT,pos_PRP,pos_:,pos_WP$,pos_NNPS,pos_PRP$,pos_WDT,pos_(,pos_),pos_.,"pos_,",pos_``,pos_$,pos_RB,pos_RBR,pos_RBS,pos_VBD,pos_IN,pos_FW,pos_RP,pos_JJR,pos_JJS,pos_PDT,pos_MD,pos_VB,pos_WRB,pos_NNP,pos_EX,pos_NNS,pos_SYM,pos_CC,pos_CD,pos_POS,author
3003,0.035298035298035296,0.000666000666000666,0.16416916416916416,2316,0.07092907092907093,0.011988011988011988,0.015318015318015318,0.03563103563103563,0.10323010323010323,0.00999000999000999,0.01998001998001998,0.05228105228105228,0.039294039294039296,0.001998001998001998,0.015651015651015652,0.031302031302031304,0.014652014652014652,0.04695304695304695,0.04895104895104895,0.012654012654012654,0.001332001332001332,0.046620046620046623,0.05727605727605728,0.059940059940059943,0.03296703296703297,0.006327006327006327,0.013986013986013986,0.002331002331002331,0.018648018648018648,0.000999000999000999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494,5.080971659919029,64.30434782608695,12.655915468560538,0.659919028340081,0.05960705960705961,213,0,36,1,0,0,0,1,0,2,0,5,0,3,0,5,0,0,2,1,0,0,0,0,2,1,15,13,0,6,0,0,6,0,1,2,4,6,0,0,7,0,0,1,0,0,31,1,35,0,0,0,0,0,13,0,0,12,2,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,12,4,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,33,1,0,0,26,2,25,3,0,0,0,0,11,0,0,1,0,1,1,81,1,0,0,0,0,26,0,13,0,1,1,0,16,4,0,3,0,118,0,0,0,15,1,2,0,5,1,1,46,0.027932960893854747,0,13,3,47,3,2,14,35,4,0,9,78,33,63,3,0,0,15,1,0,0,52,46,23,0,31,1,0,60,45,0,1,1,2,0,5,18,3,51,4,12,0,13,1,0,560480
3077,0.020799480012999676,0.0,0.19044523886902828,2344,0.05102372440688983,0.010399740006499838,0.012999675008124796,0.04289892752681183,0.10237244068898277,0.012024699382515438,0.016899577510562237,0.06499837504062399,0.04907377315567111,0.0006499837504062399,0.011699707507312317,0.026324341891452715,0.016574585635359115,0.04874878128046799,0.060123496912577186,0.012674683132921676,0.00032499187520311994,0.04387390315242119,0.05394865128371791,0.06077348066298342,0.019499512512187196,0.006499837504062398,0.022424439389015276,0.0009749756256093598,0.013974650633734157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032499187520311994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587,4.243611584327087,65.91304347826087,15.532298884680504,0.5536626916524702,0.047448813779655506,157,0,38,0,1,0,0,1,0,0,0,6,0,6,0,5,0,1,0,1,4,1,0,0,0,0,17,24,0,9,0,0,22,1,0,4,2,7,0,6,6,0,0,0,0,0,25,1,35,0,2,0,2,0,22,0,1,23,0,0,1,0,0,1,1,0,1,0,0,0,2,2,0,0,0,2,2,5,0,0,10,2,0,0,1,0,0,1,1,0,3,1,1,3,2,2,3,0,0,0,2,1,18,11,0,0,26,3,16,2,1,0,0,0,12,5,0,0,0,0,1,108,1,0,0,0,2,29,0,30,1,5,0,7,7,2,0,4,0,151,0,1,0,11,0,1,0,7,5,1,46,0.0136986301369863,0,15,13,37,6,1,14,26,7,0,15,69,32,114,1,1,0,28,0,0,0,51,34,19,0,38,1,0,74,54,0,8,1,0,0,8,25,4,7,0,15,0,24,4,0,6234395
3010,0.02425249169435216,0.0,0.18372093023255814,2269,0.061794019933554815,0.011960132890365448,0.016611295681063124,0.035880398671096346,0.0867109634551495,0.014950166112956811,0.015614617940199336,0.04186046511627907,0.06378737541528239,0.003654485049833887,0.005980066445182724,0.029235880398671095,0.02558139534883721,0.05016611295681063,0.053156146179401995,0.007641196013289037,0.002325581395348837,0.029235880398671095,0.04850498338870432,0.06976744186046512,0.028903654485049834,0.003654485049833887,0.020598006644518274,0.0009966777408637873,0.024916943521594685,0.0003322259136212625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003322259136212625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554,4.435018050541516,47.564516129032256,10.724762692504628,0.555956678700361,0.06212624584717608,186,1,47,0,4,0,4,0,0,0,1,16,0,6,0,11,0,1,1,1,0,1,3,0,10,0,17,26,0,10,0,0,27,2,0,5,1,6,1,7,10,0,0,1,0,1,22,2,21,1,0,0,0,0,9,1,3,19,0,0,0,1,0,2,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,25,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,31,8,0,0,19,7,30,0,10,0,0,3,11,1,1,0,0,0,4,42,0,0,0,0,1,6,0,0,0,0,0,7,21,0,0,6,0,192,0,0,0,11,0,5,0,8,4,0,62,0.12834224598930483,0,14,10,37,5,7,17,25,3,0,19,84,36,84,3,0,0,18,1,0,0,36,64,15,0,59,1,1,49,82,0,7,0,0,0,0,15,2,11,1,15,0,18,4,0,806976
3080,0.018506493506493506,0.0,0.17305194805194804,2465,0.06428571428571428,0.00909090909090909,0.02012987012987013,0.041233766233766234,0.09772727272727273,0.017857142857142856,0.019155844155844155,0.046103896103896105,0.0512987012987013,0.0012987012987012987,0.007792207792207792,0.039935064935064934,0.01883116883116883,0.060064935064935064,0.06428571428571428,0.015584415584415584,0.0,0.05,0.05097402597402598,0.06785714285714285,0.02077922077922078,0.005194805194805195,0.015584415584415584,0.000974025974025974,0.01396103896103896,0.0003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534,4.769662921348314,95.28125,19.97651648998822,0.6367041198501873,0.026623376623376622,198,1,50,1,1,0,0,0,0,0,0,10,0,3,0,18,0,0,2,1,3,1,0,0,10,0,23,31,0,6,0,0,18,0,2,0,4,8,0,5,3,0,0,3,0,0,51,1,40,0,1,0,0,0,20,0,1,37,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,3,2,1,1,0,11,3,1,0,1,1,0,0,0,0,1,0,1,11,3,0,2,1,0,0,1,3,24,6,0,0,19,5,26,2,3,0,0,0,8,2,0,0,0,0,0,65,2,0,0,0,1,3,0,1,0,1,2,2,8,0,0,1,0,158,0,0,0,2,0,3,0,13,4,0,32,0.0,0,8,12,16,1,0,13,43,2,0,5,107,76,21,3,0,1,15,1,0,0,32,22,9,0,28,0,0,42,62,0,9,1,0,0,5,15,1,26,1,18,0,25,3,0,1220273
3061,0.03332244364586737,0.0003266906239790918,0.17673962757268866,2399,0.07056517477948383,0.009474028095393662,0.02319503430251552,0.0359359686377001,0.08885984972231296,0.020581509310682783,0.018621365566808233,0.04933028422084286,0.05488402482848742,0.0006533812479581836,0.008167265599477294,0.031688990525971905,0.017314603070891867,0.06043776543613198,0.05455733420450833,0.014047696831100947,0.0003266906239790918,0.04639006860503104,0.04442992486115648,0.06925841228356747,0.02515517804639007,0.006533812479581836,0.015354459327017315,0.0009800718719372753,0.015681149950996405,0.0013067624959163672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009800718719372753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542,4.649446494464945,50.03333333333333,10.761137566137565,0.6033210332103321,0.03822280300555374,216,0,57,0,2,0,0,0,0,0,0,10,0,2,0,16,0,0,1,3,1,3,1,0,3,1,20,23,1,2,0,0,18,0,1,1,4,4,2,2,7,0,0,0,0,1,41,0,36,0,0,0,1,0,19,0,0,16,0,0,4,0,0,4,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,5,0,2,3,2,0,1,2,0,0,1,0,21,8,1,0,20,5,29,2,1,0,0,1,9,3,1,0,0,0,0,70,1,0,0,0,5,8,0,2,0,1,1,6,11,0,0,1,0,168,0,0,0,9,0,5,0,5,7,3,60,0.017094017094017096,0,10,11,22,2,1,17,30,5,0,9,99,50,43,1,0,0,19,1,0,0,39,20,9,0,31,0,0,47,83,0,6,2,0,0,8,19,1,35,1,12,0,11,3,0,967934
3098,0.020335700451904453,0.0,0.18624919302775986,2382,0.0645577792123951,0.016139444803098774,0.015171078114912848,0.04357650096836669,0.1039380245319561,0.016139444803098774,0.0171078114912847,0.06391220142027114,0.03905745642349903,0.0012911555842479018,0.008715300193673338,0.03066494512588767,0.01065203357004519,0.0487411233053583,0.05455132343447385,0.00936087798579729,0.00032278889606197545,0.04551323434473854,0.05326016785022595,0.06649451258876694,0.020012911555842477,0.005810200129115558,0.019690122659780502,0.0009683666881859264,0.012588766946417043,0.0006455777921239509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016139444803098773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578,4.36159169550173,69.43181818181819,15.918917456997587,0.5743944636678201,0.04325371207230471,200,0,37,0,0,0,0,0,0,0,0,6,0,9,0,12,0,1,1,1,1,2,0,0,4,2,17,16,0,2,0,0,13,1,0,3,2,5,0,7,9,0,0,0,1,1,35,3,38,1,0,0,0,1,18,0,3,13,3,0,0,1,0,2,2,1,1,2,0,0,2,1,0,0,0,1,1,3,1,1,6,0,1,0,0,1,0,0,3,0,3,0,2,1,0,0,1,0,1,0,1,0,27,8,0,0,30,3,28,2,0,0,0,0,13,0,0,0,0,0,0,116,2,0,0,0,3,39,0,26,0,5,0,2,10,2,0,2,0,121,0,0,0,6,0,4,0,4,2,1,44,0.0,0,23,15,27,4,1,12,26,4,0,8,81,48,69,2,0,0,24,3,0,0,52,41,12,0,33,0,0,63,65,0,4,0,1,0,8,30,4,19,2,18,0,24,4,0,2855986
2963,0.0330745865676679,0.0,0.17887276409044886,2225,0.06986162672966588,0.011137360782990213,0.019574755315558554,0.04083698953763078,0.08167397907526155,0.006749915626054675,0.021599730003374958,0.03611204859939251,0.0550118123523456,0.0020249746878164025,0.014174822814714817,0.028687141410732364,0.017887276409044885,0.05197435032062099,0.056699291258859266,0.0077624029699628755,0.0006749915626054674,0.03543705703678704,0.044886938913263584,0.06884913938575768,0.03172460344245697,0.005737428282146473,0.015187310158623017,0.0013499831252109348,0.02531218359770503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016874789065136687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,4.581920903954802,57.11764705882353,12.465873649089723,0.5932203389830508,0.06851164360445494,207,0,38,0,3,0,5,1,0,0,0,9,0,3,0,4,0,0,0,3,0,0,2,0,8,2,15,25,0,8,0,0,17,0,0,2,5,6,0,6,12,1,0,3,0,0,22,1,43,1,1,0,1,1,26,0,4,11,1,0,0,0,0,8,2,0,3,0,0,0,1,0,0,0,0,1,1,3,0,0,15,4,0,0,0,0,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,5,18,3,0,0,12,4,31,0,1,0,0,0,14,4,1,0,0,0,1,30,0,0,0,1,0,3,0,0,1,1,0,6,10,0,0,0,0,163,0,1,0,33,1,3,1,9,6,7,51,0.019704433497536946,0,9,7,58,4,4,15,12,11,0,18,87,44,65,3,0,0,13,1,0,0,66,40,33,0,33,2,0,35,56,0,7,1,0,0,9,39,1,44,1,5,0,29,7,0,1276465
3093,0.06498545101842872,0.0,0.17038473973488522,2348,0.06563207242159716,0.013902360168121564,0.021661817006142902,0.031037827352085354,0.09440672486259295,0.010022631749110895,0.02230843840931135,0.04623343032654381,0.05399288716456515,0.0016165535079211122,0.007112835434852894,0.03653410927901714,0.024571613320400906,0.05399288716456515,0.04881991593921759,0.02133850630455868,0.0016165535079211122,0.04526349822179114,0.05366957646298093,0.04623343032654381,0.02651147752990624,0.006142903330100227,0.011639185257032008,0.0006466214031684449,0.014225670869705788,0.0,0.00032331070158422246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004849660523763337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528,4.859848484848484,44.5,9.156664068589246,0.6382575757575758,0.06530876172001293,203,0,77,1,4,0,4,1,0,0,0,5,2,7,0,8,2,0,1,1,0,1,1,0,10,4,11,19,0,4,0,0,7,1,1,1,18,9,0,5,3,0,0,6,0,0,30,0,31,0,1,0,0,0,19,0,1,13,0,0,0,0,1,6,0,0,1,0,0,0,1,0,0,0,0,4,5,1,1,0,16,6,0,0,0,0,1,0,2,0,1,0,0,3,0,0,3,0,0,0,1,0,20,5,0,0,9,0,15,1,5,0,0,0,3,0,1,1,0,0,0,79,2,0,0,0,1,20,0,16,0,1,0,0,5,0,0,4,0,167,0,0,0,12,0,3,0,8,5,5,68,0.04950495049504951,0,8,4,46,2,4,21,32,6,0,9,96,49,47,6,0,0,20,0,0,0,74,31,36,0,35,0,0,51,51,0,11,1,0,0,3,11,2,44,1,10,0,19,0,0,2750536
3098,0.020012911555842477,0.0,0.1814073595868302,2421,0.04906391220142027,0.011943189154293092,0.015493867010974823,0.03486120077469335,0.1000645577792124,0.0158166559070368,0.020012911555842477,0.05971594577146546,0.05616526791478373,0.0006455777921239509,0.010006455777921239,0.03712072304712718,0.022595222724338282,0.04777275661717237,0.06488056810845706,0.011943189154293092,0.0006455777921239509,0.0500322788896062,0.04228534538411879,0.065848934796643,0.020012911555842477,0.006778566817301485,0.022595222724338282,0.0009683666881859264,0.012911555842479019,0.0012911555842479018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032278889606197545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563,4.504440497335701,62.244897959183675,13.818563703083758,0.5843694493783304,0.036797934151065206,152,1,47,0,1,0,2,0,0,1,0,10,0,4,0,13,0,1,0,1,1,1,1,0,9,0,21,25,0,12,0,0,21,0,0,4,3,12,2,5,2,0,0,3,0,0,36,0,19,0,0,0,0,1,11,0,1,34,2,1,0,0,1,0,1,3,1,1,0,0,4,1,0,0,0,2,3,2,0,0,17,4,0,0,0,0,3,0,0,0,3,1,0,1,2,0,2,0,0,2,0,0,12,8,0,0,29,4,22,2,3,0,0,0,8,3,0,1,0,0,1,91,1,0,1,2,2,31,0,13,0,6,0,8,13,3,0,1,0,174,0,1,0,6,0,4,0,6,1,0,49,0.06140350877192982,0,19,14,22,6,1,16,30,6,0,10,81,39,71,3,0,0,33,4,0,0,44,24,15,0,36,0,0,52,62,0,4,3,0,0,7,21,2,20,1,20,0,12,1,0,6234395
3068,0.027053455019556714,0.0009778357235984355,0.17535853976531943,2361,0.0710560625814863,0.014015645371577574,0.022490221642764017,0.039765319426336376,0.09517601043024772,0.013363754889178618,0.024119947848761408,0.05084745762711865,0.04791395045632334,0.001955671447196871,0.010104302477183833,0.028357235984354627,0.019230769230769232,0.056388526727509776,0.05345501955671447,0.01303780964797914,0.000651890482398957,0.046610169491525424,0.046610169491525424,0.058018252933507174,0.019882659713168188,0.0048891786179921775,0.014015645371577574,0.0009778357235984355,0.015319426336375489,0.001303780964797914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003259452411994785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539,4.6938775510204085,60.38,12.863565217391304,0.640074211502783,0.05084745762711865,218,0,49,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,4,5,19,24,0,10,0,0,8,0,1,1,8,8,0,4,2,0,0,3,0,0,28,1,49,1,0,0,0,0,24,0,2,18,1,0,0,0,0,3,0,0,1,2,0,0,2,0,0,0,0,0,3,1,0,0,9,4,0,0,0,1,3,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,13,5,0,0,27,3,26,3,2,0,0,0,5,3,1,0,0,0,0,80,1,1,3,0,0,19,0,20,0,0,0,8,6,1,0,2,0,147,0,0,0,15,0,0,0,3,2,3,50,0.0,0,19,6,33,1,1,15,34,4,0,10,83,53,61,0,0,0,20,1,0,0,62,38,23,0,26,2,0,55,38,0,5,1,0,0,7,22,1,40,0,17,0,24,3,0,3439302
