videoId,publishedAt,authorDisplayName,textDisplay
bN2XUUv1uvo,2023-07-07,G.A. Van Amstel,"CDA kan beter helemaal stoppen. Laat Omtzigt met Mona een nieuwe partij oprichten, dan kunnen ze veel zetels halen. Liefst met Renske erbij"
bN2XUUv1uvo,2023-07-07,Karel de Kale,Wopke Hoekstra?Wat een gotspe!
bN2XUUv1uvo,2023-07-07,J Buitendam,Het kabinet gaat niet vallen een narcisten gaat niet uit zich zelf weg
bN2XUUv1uvo,2023-07-07,truus marja,Mona Keizer terug in de politiek!!
bN2XUUv1uvo,2023-07-07,Jon Hagedoorn,M.I.L.F Keijzer.
bN2XUUv1uvo,2023-07-07,William de Wit,PRIKSCHADE.
bN2XUUv1uvo,2023-07-07,Gerard Hensen,hoekstra verrader
bN2XUUv1uvo,2023-07-07,Flying Dutchman 17,CDA = NSB
bN2XUUv1uvo,2023-07-08,jo bovens,Wouther met zijn gay mondje
bN2XUUv1uvo,2023-07-09,Norma,Jammer dat je weer terug bent in het hol van de leeuw
8T7jMVSsSr4,2023-07-09,Van de Berg,Hij wordt gewoon weer leerkracht! 🎉
8T7jMVSsSr4,2023-07-09,Akkie Kiggen,"Als je het cda naar de filistijnen wil helpen, moet je Hugo de jonge kiezen 😂😅🤣"
8T7jMVSsSr4,2023-07-09,Patrick Grinwis,Hugo liegt en bedriegt nog steeds.
8T7jMVSsSr4,2023-07-09,Barry van der Meer,"Da's mooi! Hopelijk zijn we dan eindelijk ook van hem af. Maar eerst zien, dan geloven"
8T7jMVSsSr4,2023-07-09,tony mctony,Als je je het Cda helemaal kapot wil maken laat hem dan lijsttrekker worden
8T7jMVSsSr4,2023-07-09,Mark Overwater,Kan Hugo eindelijk zijn droombaan schoenenverkoper nastreven
8T7jMVSsSr4,2023-07-09,computerbugie F.,"vraag aan Hugo de Jonge: wat is je lieveling kleur?    antwoord: Nou nou!, het betreft namelijk niet het gehalte aan kaas en frikandellen in de soep die men met timmeren met gereedschapskist op school in de tussen uren van de belastingdienst kan vragen op een dinsdag dit weekend bij volle maan in de regen...maar alleen bij Sinterklaas tussen de postNL pakjes van afgelopen zondag met een toename van 11 liter bij verkoop van 1 kilo...dus vaccineren is en blijft  noodzaak om al deze redenen."
8T7jMVSsSr4,2023-07-09,nobody,Logisch ook als je frikandellen gaat vergelijken met vaccins
8T7jMVSsSr4,2023-07-09,Rolf Prejean,"haha, Hugo, serieus?  over 3 maanden weten we meer. Huug heeft eerder al eens uitspraken gedaan, die laten toch niet zo waar bleken te zijn..."
8T7jMVSsSr4,2023-07-09,Patrick Andeweg,Ook hugootje moet getribunaliseerd
8T7jMVSsSr4,2023-07-09,Jan,Die Hugo is niet meer aan te zien en te horen. Verschrikkelijk.
8T7jMVSsSr4,2023-07-09,Lex Veen,"Ga maar een baan zoeken die bij je past. Onderaan beginnen, net zoals iedereen 😂"
8T7jMVSsSr4,2023-07-09,Some day,Griezel!!!!!!
8T7jMVSsSr4,2023-07-09,GertJan van der Kooij,Kan maar beter schoenverkoper worden
8T7jMVSsSr4,2023-07-09,Michel van de Pol,dit is heel goed nieuws we zijn van de griezel af?
8T7jMVSsSr4,2023-07-09,Edwin Brouwer,"Deur voor deur, arm voor arm."
8T7jMVSsSr4,2023-07-09,Randy Marsh,Hugo de Jonge hoort in de gevangenis te zitten
8T7jMVSsSr4,2023-07-09,Cor Velleman,We weten waar ze wonen
8T7jMVSsSr4,2023-07-09,Chris Bachofner,Op geruimd staat netjes.
8T7jMVSsSr4,2023-07-09,Galaxy Galaxy,Als ik goed geluisterd heb wordt hij lijsttrekker😅
8T7jMVSsSr4,2023-07-09,JMM short channel,Hij denkt wel vaker wat die hugo. Een tribunaal zou beter passen. Leugenaar
8T7jMVSsSr4,2023-07-09,mensen zijn van mensen,Media zien hem wel zitten. Dus hij wordt het@ Dancawhit jansan
8T7jMVSsSr4,2023-07-09,2304lb,Hugo moet je opsluiten
8T7jMVSsSr4,2023-07-09,jos zoet,Pieter wordt lijsttrekker..! Maar niet van het CDA !
8T7jMVSsSr4,2023-07-09,Paul Van Amersfoort,Is ook niet nodig.  CDA bestaat na de verkiezingen niet meer..hahahahaha 😂😂😂
8T7jMVSsSr4,2023-07-09,sylvester pulk,"die ogen van hugo spreken weer boekdelen ,,speed,, junky"
bN2XUUv1uvo,2023-07-10,John Mckinney.,"Nobody cares wat Mona vindt van wat dan ook, en al helemaal niet wie de lijsttrekker van het CDA wordt"
bN2XUUv1uvo,2023-07-10,Dorus ,Mona is top
bN2XUUv1uvo,2023-07-10,Guy Renardeau,Mona Keijzer natuurlijk want die hebben ze indertijd weggepest omdat Mona eerlijk en oprecht is.
8T7jMVSsSr4,2023-07-10,B van der V,Hij hoort in de gevangenis.
8T7jMVSsSr4,2023-07-11,Camiel van Lenteren,"GODZIJDANK, deze man verdient pek en veren."
8T7jMVSsSr4,2023-07-11,harrie houtman,"Om te beginnen, een parlementair diepgaand onderzoek naar deze meneer, lijkt me het minste."
8T7jMVSsSr4,2023-07-11, Den Bogert,Gelukkig bestaat het cda. Na de verkiezingen nier meer.😊😊😊
8T7jMVSsSr4,2023-07-11,Gerald DeBerg,"Hugo komt beter uit de verf als clown, hij heeft zijn schoenen al..."
8T7jMVSsSr4,2023-07-11,lexpee,"opgerot staat netjes, hub weer terug naar de klas."
8T7jMVSsSr4,2023-07-11,Roosjes,"Waar is die 5,5 miljard ,"
jla-UbFIx4M,2023-07-12,Nina Camer,Echt knap van Omtzigt dat hij niet in te pakken is en dat hij in onze afgestorven politiek zoveel aanhangers en vertrouwen heeft in het land
jla-UbFIx4M,2023-07-12,Allemaalpannenkoeken,Als Omtzigt dit gaat doen is hij ook zijn  geloofwaardigheid kwijt!
jla-UbFIx4M,2023-07-12,IsoleerBeer,Pieter moet nooit meer terug gaan naar het CDA! Ze hebben hem verraden.
jla-UbFIx4M,2023-07-12,Herman Lighaam,"Als het CDA Omtzigt zo hard nodig heeft hadden ze vierkant achter hem moeten gaan staan bij de toeslagenaffaire, maar toen lieten ze hem vallen als een baksteen. Sterker nog: na de val van Rutte 3 sloten ze zich weer aan bij de zelfde groep farizeeërs. Omtzigt zou wel gek zijn om terug te gaan naar het CDA."
jla-UbFIx4M,2023-07-12,Max Christoffel,There can only be one: Pieter Omzigt. Lets rumble!
jla-UbFIx4M,2023-07-12,Gait N,"Het CDA heeft lekker ijverig meegesloopt, klaarblijkelijk nu al vergeten!"
jla-UbFIx4M,2023-07-12,E Vitoonbundit,Omtzigt kan vel beter een eigen partij oprichten en dan pas overwegen een enkele CDA-er zoals Mona Keizer overnemen.
jla-UbFIx4M,2023-07-12,yo,Een begeerlijke leider❤❤❤
