videoId,publishedAt,authorDisplayName,textDisplay
MNjCa-qzW7A,2023-07-07,KafkaNL,Na de zomer ga ik verder op een NIEUW Youtube kanaal! Abonneer hier a.u.b! https://youtu.be/7M_tw5H0xwg
MNjCa-qzW7A,2023-07-07,Fred,"Bosma, de aller aller beste volksvertegenwoordiger!"
MNjCa-qzW7A,2023-07-07,JEZUS DE ZOON VAN GOD,Het doet mij denken aan de tweede wereldoorlog toen moest ook de overheid weten hoeveel jew er waren. We weten allemaal hoe het geëindigd is.
MNjCa-qzW7A,2023-07-07,MamaLada,"Door steeds weer de nadruk te leggen op rassen en kleurtjes wordt er niets opgelost.  In tegendeel , zo werk je het rascisme meer in de hand.  Hou daar toch eens mee op..!"
MNjCa-qzW7A,2023-07-07,Marco P,Ben ik zo dom of ben ik de enige die geen antwoord op de vraag van Bosma heb gehoord!?
MNjCa-qzW7A,2023-07-07,r juttemeijer,"Inclusief iedereen, behalve als je blank bent ."
MNjCa-qzW7A,2023-07-07,Johan Dijk,Waarom op basis van huidskleur? Kwaliteit zou toch voorop moeten staan...
MNjCa-qzW7A,2023-07-07,Cor vAvW,"Waneer krijgen we plaatjes op onze jas😢de praatjes gaan aardig deze kant op.tegenwoordig polarisatie vroeger rassist. Bij het boodschappen doen vanmorgen bij Albert Heijn  noemde ze mij nog witte man toen ik iets vroeg aan een medewerker en zij reflecteerde naar haar collega. ( overigens allebei gesluierd.) Overwoog om daar een klacht voor in te dienen,maar zie mijzelf als verstandig 😊dit is amsterdam."
MNjCa-qzW7A,2023-07-07,Hendrik Janssen,HET IS OVER/VOORBIJ 🎉🎉🎉🎉
MNjCa-qzW7A,2023-07-07,Keesieee,Geef antwoord soepkip.
MNjCa-qzW7A,2023-07-07,MamaLada,"In welk hokje pas ik als mijn ouders en voorouders van Nederlands, afrikaans, indiase en Chineze afkomst zijn..?  En waarom gaat u dat aan..?"
MNjCa-qzW7A,2023-07-07,Inez Karkabe,"Wauw. Maar waarom kost een kaartje voor de Stopera  dan dermate veel, dat enkel “culturapparachicks” en ingewijden.. deze kunnen aanschaffen?"
MNjCa-qzW7A,2023-07-07,jackpotsearlytapes,Wat een orgineel betoog van het rode jurkje.
MNjCa-qzW7A,2023-07-07,katja v Heesch,"Dan zou je eerst eens al die verschillende categorieën  en niveaus  zoals o.a. rassen, middenstand enz los horen te laten waarin mensen zijn ingedeeld. Dit is al eeuwen geleden toen geld o.a. een betaalmiddel werd ook 'één van die vele verdeeldheid en tweedelingen ook tussen komen te staan. Sinds de mensheid bestaat is alles al in die hokjes en blokjes verdeeld waar ook jullie vrolijk mee door blijven gaan. Denk je nu echt dat al sinds de mensheid bestaat mensen al zijn onderverdeeld dat je ooit elkaar nog als gelijke gaat zien en als gelijke word behandeld."
MNjCa-qzW7A,2023-07-07,Mario Lugt,Ik mis onze racisme-expert mevrouw Simons in deze discussie😁😁
MNjCa-qzW7A,2023-07-07,Peter Roeters,Wat???
MNjCa-qzW7A,2023-07-07,J F,ALLES BEHALVE BLANK..... SORRY WIT
MNjCa-qzW7A,2023-07-08,Thomas Jefferson,"yep, deze type van intersectionaliteit is EXTREeM racistich, eerst wordt iedereen ingedeeld in hokjes en naargelang uw positie heb je recht op meer of minder --> doet me denken aan de jaren 30 waar halfmensen werden ingedeeld volgens de frenologie, zoek maar op"
MNjCa-qzW7A,2023-07-08,dirk Daniëls,Koekoek bing Koekoek bing Koekoek.
MNjCa-qzW7A,2023-07-08,Happy met Jezelf,Kots
