videoId,publishedAt,authorDisplayName,textDisplay
4SR37IrbA6c,2023-07-07,3Malpjen,De ware aard GL/PvdA komt boven drijven.
4SR37IrbA6c,2023-07-07,Lynda Lentze,"GL en PvdA , D666, VVD,CDA, Allemaal  uitsluiten."
4SR37IrbA6c,2023-07-07,Akelig Knetter,Held! 🎉
4SR37IrbA6c,2023-07-07,Arjen van Doorne,Politiek heeft nooit een oplossing.
4SR37IrbA6c,2023-07-07,truckker63,Kom Op Richard 💪💪❤❤❤
4SR37IrbA6c,2023-07-07,Eureka Kuekuenda,HELD EN STIJDER.
4SR37IrbA6c,2023-07-07,Hans Solomo,"Pas op hè, geen grote mond tegen Richard. Hij zit toevallig wel op kickdammen en gebruikt z’n bril als werpster. Je moet wel… wil je iets beginnen tegen al dat politieke geweld. Ik geef em groot gelijk."
4SR37IrbA6c,2023-07-07,Justin,Proost Kabinet gevallen 🥂
4SR37IrbA6c,2023-07-07,Hicham Dailal,"AVIES!!!!! HET IS NIET NETJES OM ETIKETTEN VAN STATIEGELD FLESSEN TE HALEN, WANT DAN KUN JE ZE NIET MEER INLEVEREN BIJ DE SUPERMARKT!!!!!!!!!!!!"
4SR37IrbA6c,2023-07-07,Newtons 3rd Law,Alle buitenlandse ambtenaren  Gemeentehuis Den haag..  Functie Elders...!!!!
4SR37IrbA6c,2023-07-07,Syl,die intervuuuwer gaat nog net niet in je staan zo dichtbij staat ze altijd
4SR37IrbA6c,2023-07-07,Gilbert Kuipers,❤
4SR37IrbA6c,2023-07-07,Thorben Hoogendijk,Ik had ook niet met D66 gaan werken als ik hem was
4SR37IrbA6c,2023-07-07,Natascha de Rooij,Ik zie iets moois ontstaan tussen die twee
4SR37IrbA6c,2023-07-07,Ben Geurden,2:40 Ik wist niet dat er ook prostituees op de redactie werkte ... oooo nee het is een presentatrice 😆 Wat is het toch ook een goedkoop oproepje he
4SR37IrbA6c,2023-07-07,Aoki Carreno,Go Richie
4SR37IrbA6c,2023-07-07,2pac Shak Lebara Aa,Mos strijder maar a u b ook geen d66
4SR37IrbA6c,2023-07-07,Cor vAvW,Mos van uit monument amsterdam aanvallen
4SR37IrbA6c,2023-07-08,Hans Houbraken,Richard is een heerlijke man! Kom zsm naar de landelijke politiek!!!
4SR37IrbA6c,2023-07-08,evolution22041975,Huizen bouwen hoeft niet als je al die illegale (onderverhuur) aanpakt. Komen er zat huizen vrij
4SR37IrbA6c,2023-07-08,McChrister,"Ik vind het géén stijl dat je Richard als een Crimineel bestempeld!!😖😡 Die goeie man doet zijn allerbest voor Den Haag….Ga zo door, Richard! Good luck from Canada🙏🏼🍀👋🏼🇨🇦"
4SR37IrbA6c,2023-07-08,BedroomBully,Richard lijkt op Senator Armstrong
4SR37IrbA6c,2023-07-08,jan aarts,"die kuiken met klaver BRRRRRRRRRRRRRRRRRRRRRRRRRRRR, ook gauw weg"
4SR37IrbA6c,2023-07-08,montaser el attal,Hadden we hem maar in limburg
wYa0xBh3FSE,2023-07-09,JOH TOR,Attje en Jesse zijn in mijn ogen twee totaal ongeloofwaardige personen. Zelfs samen kunnen ze geen vuist maken.
wYa0xBh3FSE,2023-07-09,Korstiaan Akse,Attje verslikte zich bijna van de schrik toen ze het idee hoorde dat Caroline haar zou verslaan😂
wYa0xBh3FSE,2023-07-09,RF,"2 hele enge mensen, die het als losse partij niet redden. Laten we hopen dat dit ook als combi zo blijft, anders doen zij Nederland ook in de uitverkoop"
wYa0xBh3FSE,2023-07-09,Dennis Katinas,"Van iedereen verdient Caroline het, zelfs Wilders en Baudet hebben de kans gehad om groot te zijn. Het is de tijd van de boeren, die krijgen elke dag weer eten op ons bord, die krijgen het gedaan."
wYa0xBh3FSE,2023-07-09,Kolendamp,"Attje als lijsttrekker natuurlijk, wat een power wife"
wYa0xBh3FSE,2023-07-09,Pro Libertate,"Ik hoop dat de andere partijen net zoveel aandacht krijgen als de PartijvandeGroenLinksArbeid in de media, dat is wel zo eerlijk."
wYa0xBh3FSE,2023-07-09,Ans Stroot,"Moet er niet aan denken. Dat deze twee personen aan her roer komen. Nog meer vreemde mensen hier,nog meer armoede . Voedselbanken  langer.. A.U.B.🙏🏻🙏🏻🙏🏻"
wYa0xBh3FSE,2023-07-09,Ruud Smolders,"Praatjes hebben ze zat, maar dit is natuurlijk wel vanuit armoede."
wYa0xBh3FSE,2023-07-09,T Vankammen,2 kansloose partijen 😂
wYa0xBh3FSE,2023-07-09,ferhatti78,"Die willen ook miljarden uitgeven om 0,0001 graden te redden."
wYa0xBh3FSE,2023-07-09,Edmond,Ze moeten wel samenwerken anders hebben ze geen bestaansrecht meer
wYa0xBh3FSE,2023-07-09,Nick Wilmans,Ja meneer Klavertje. Daar gaat je dictoriale totalitaire ambitie om iedere burger 24/7 onder de duim te houden.
wYa0xBh3FSE,2023-07-09,zwani,Zou een ramp zijn als dit de grootste wordt
wYa0xBh3FSE,2023-07-09,Frans,Ik denk dat Nederland verstandig genoeg om niet te stemmen op deze linkse kliek.
wYa0xBh3FSE,2023-07-09,3Malpjen,GL/Pvda is niet te hopen wordt de verdere ondergang van NL. 🤦
wYa0xBh3FSE,2023-07-09,Piet Van der Zwaan,"Attje Uilskuiken is er weer mooi ingetrapt, samen naar de afdaling, en dat het maar snel mag gaan."
wYa0xBh3FSE,2023-07-09,Thomas Jung,Welke goede kandidaten hebben ze dan? Niemand weet het…
wYa0xBh3FSE,2023-07-09,lindaingrid,Ik ik stem op FVD 🎉🎉🎉🎉voor ons vrijheid 🎉
wYa0xBh3FSE,2023-07-09,David Hertogh,Als er een wedstrijdje is van engste persoon ter wereld dan wint Klaver het met overmacht
wYa0xBh3FSE,2023-07-09,John Veerkamp,Alsjeblief niet   NEVER !!
