videoId,publishedAt,authorDisplayName,textDisplay
JgfZsFfugZ0,2023-07-08,John Mooiman,"De AIVD houd zich zelf in stand, Je verzint wat en je bent nodig."
JgfZsFfugZ0,2023-07-08,My music ‘Country Music’,Dit moet onze minister president worden..      Martin Bosma..     het moet !
JgfZsFfugZ0,2023-07-08,Rick Costangiers,"Als ik, vanuit mijn zienswijze naar bepaalde besluiten kijk die ""onze"" overheid neemt kan ik enkel tot de conclusie komen dat ze in en in slechte intenties hebben of totaal achterlijk zijn. Ik merk op uit dit aivd onderzoek dat ik onze overheid als totaal achterlijk moet definiëren. ""Een beetje jammer dat een heel volk moet buigen voor regels en wetten die door totaal achterlijke mensen verzonnen worden."" Dat is dan mijn vervolgconclusie."
JgfZsFfugZ0,2023-07-08,Rinske De Vries,"Rutte IS NIET te goeder trouw, dat mag inmiddels overduidelijk zijn!!"
JgfZsFfugZ0,2023-07-08,Robert van Slooten,"Google eens op extremisme en ideologie. Het eerste woord ""doelbewust"" is het belangrijkste woord in de omschrijving van wat extremisme is. Eerst wanneer dát uit feiten of omstandigheden is gebleken, zou overgegaan mogen worden tot afluisteren, volgen of iets dergelijks. Niet daarvóór en altijd met fiat van een rechter. Dit ter bescherming van onze rechtsstaat, in het belang van onze persoonlijke levenssfeer en ter voorkoming van willekeur. Dat is allemaal geregeld in verschillende wetten, die met voeten getreden worden als de AIVD haar zin zou krijgen."
JgfZsFfugZ0,2023-07-08,t a,het is een feit dat  iets  het volk alleen maar goed kan doen   maar ook dat iets het volk alleen maar kwaad kan doen.
JgfZsFfugZ0,2023-07-08,Marnix Kalkman,Mooi om nog Renske Leijten te benoemen
JgfZsFfugZ0,2023-07-08,MamaLada,Ieder zijn eigen mening.  Dat is altijd zo geweest.
JgfZsFfugZ0,2023-07-08,rvdvogt,Waarom krijgen die onder presterende ambtenaren niet gewoon de zak? In het bedrijfsleven gebeurt dat direct.
JgfZsFfugZ0,2023-07-08,Jeanne,"Waar macht is is misbruik, just because they can!"
JgfZsFfugZ0,2023-07-08,Albert,"Het kabinet is gevallen, als er geen rechtse c.q. rechts van het midden voor terugkomt gooi ik de handdoek ook in de ring, het zal dan mijn tijd wel duren…"
JgfZsFfugZ0,2023-07-08,AnonJ,Wordt tijd mensen gaan spreken over de bill die in canada erdoor is al... Leuk deze poppenkast maar is klaar met ze allemaal...
JgfZsFfugZ0,2023-07-08,Peter van der Beek,Zal de VVD met de PVV en FVD in zee willen gaan en andersom?
JgfZsFfugZ0,2023-07-08,ChiefNitrogen not yet moneyitizing,https://www.youtube.com/watch?v=6Rcy6tuq3BU ja hier is het verhaal in kort en alle leden die voor oorlog zijn  niet aanwezig vrede willen ze niet bespreken
JgfZsFfugZ0,2023-07-08,robert bryl,Leuk 1-2tje
JgfZsFfugZ0,2023-07-08,josefien scholten,🤣🤣🤣🤣🤣
4QccdPekAuk,2023-07-08,Hetiswat,Sophie de tassendraagster begrijpt niet wat democratie betekent. Ze kan beter huisvrouw worden.
4QccdPekAuk,2023-07-08,Jan,Sofietje is zo bang. Kreeg via papa een baantje bij dat vvd.  Dat arme kind zit maar te trillen en te tetteren. Ze zal wel ergens een ongekozen burgemeestertje mogen spelen. Tot dit tijd nog even politiek-correct doen. In welke poppenkast zijn we in godsmaan beland ?
4QccdPekAuk,2023-07-08,nobody,FVD en PVV zien de samenwerking met VVD niet zitten
4QccdPekAuk,2023-07-08,VPN Consult,Sophie moet gaan. Ongeschikt als fractievoorzitter
4QccdPekAuk,2023-07-08,Anne Stuiver,"Dat zal voor de PVV bekend nieuws zijn.. dat Hermans dit zegt op 0:05, kijk dat grijnzen van Kuiken"
4QccdPekAuk,2023-07-08,Nettie Molenaar,Met S.H. is ook helemaal niet mee te werjen heb ik het idee.
4QccdPekAuk,2023-07-08,Marcel GTA,Arrogante trut
