videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
YWmO5G84ndY,2023-07-07,youtube#video,CDA Portfolio Sneak Peek | Princess Educator,"Heyy Educators! Here's a sneak peek of my CDA Portfolio. I have received so many DMs of what my portfolio looks like, so I ...",Princess Educator,none
bN2XUUv1uvo,2023-07-07,youtube#video,Wie moet er bij nieuwe verkiezingen de lijsttrekker van het CDA worden? Mona Keijzer reageert | Op1,Wie moet er bij nieuwe verkiezingen de lijsttrekker van het CDA worden? Mona Keijzer: ''Dat zou absoluut Wopke Hoekstra ...,Op1,none
8T7jMVSsSr4,2023-07-09,youtube#video,Hugo de Jonge wordt niet de nieuwe lijsttrekker van het CDA | Op1,Hugo de Jonge wordt niet de nieuwe lijsttrekker van het CDA. Dat vertelt hij in #Op1. “Dat is niet logisch.” Kijk de hele uitzending ...,Op1,none
jla-UbFIx4M,2023-07-12,youtube#video,CDA-bolwerk snakt naar Omtzigt: &#39;Moeten diep door het stof&#39;,"Het rommelt bij het CDA: de partij zit na de aankondiging van Wopke Hoekstra zonder lijsttrekker. Ook Hugo de Jonge, Mona ...",De Telegraaf,none
2vcpy99uzXU,2023-07-12,youtube#video,Is het CDA nog te redden?,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Historicus Maarten ...",Maarten van Rossem - De Podcast,none
5AFtAYMJihU,2023-07-12,youtube#video,Wie moet de nieuwe lijsttrekker van het CDA worden? Fractievoorzitter Pieter Heerma reageert | Op1,Wie moet de nieuwe lijsttrekker van het CDA worden? Afzwaaiend fractievoorzitter Pieter Heerma: ''Mijn hoop voor de toekomst ...,Op1,none
KiobMbswvMs,2023-07-19,youtube#video,CDA-leden willen Omtzigt terug,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix CDA-leden wil Pieter ...",Maarten van Rossem - De Podcast,none
Tf9LiwT9poY,2023-07-19,youtube#video,CDA&#39;er: &#39;Leden vragen nog altijd of we Omtzigt kunnen terughalen&#39;,"Dit is een fragment uit The Daily Move met presentatoren Kees Dorresteijn en Liesbeth Staats. Te gast zijn Martine Wolzak, ...",BNR,none
hYQbEOOFWTk,2023-07-25,youtube#video,(🔥🔥🔥) BRENNUZ(SP) X JR THE PRINCE | CDA 4 ANOS | 1° FASE | ARACRUZ-ES,Dia 22/07 aconteceu o aniversário de 4 anos da batalha da CDA(Crias de Aracruz) Contou com 20 Mc's praticamente do Estado ...,BATALHA DA C.D.A,none
zFPsN8EhkSk,2023-08-05,youtube#video,Hubert Bruls nieuwe lijsttrekker van het CDA? &#39;Ik weet van niets&#39;,De populaire CDA-politica Mona Keijzer heeft haar lidmaatschap van de partij opgezegd. Volgens betrokkenen is de mogelijke ...,Omroep Gelderland,none
W320SY-0N04,2023-08-06,youtube#video,Voormalig CDA-Kamerlid Agnes Mulder: &#39;Verstandig als CDA oppositie in gaat&#39;,Dit is een fragment uit The Daily Move met presentatoren Nina van den Dungen en Kees Dorresteijn. Te gast is voormalig ...,BNR,none
GwpORK34vHs,2023-08-10,youtube#video,The Three Main Steps to Earning Your CDA Credential,"Learn how our six-month, self-paced, online Child Development Associate (CDA) course equips you with the training you need to ...",ed2go,none
ufKG-4rnlYw,2023-08-11,youtube#video,Anonieme bronnen CDA: &#39;je moet de journalist die het maakt vertrouwen&#39; | NPO Radio 1,Naast een nieuwe lijsttrekker moet het CDA ook op zoek naar een nieuwe voorzitter. Hans Huibers stapte gisteren op. Directe ...,NPO Radio 1,none
vZDq14iAHFM,2023-08-11,youtube#video,Henri Bontenbal is kansloos als nieuwe CDA-leider: &#39;Er is maar één iemand die partij kan redden&#39;,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Maarten van Rossem ...",Maarten van Rossem - De Podcast,none
WakwnO2oZJ8,2023-08-12,youtube#video,Sjuul Paradijs over mogelijk CDA-leider Bontenbal: &#39;Met hem gaan ze het niet winnen&#39;,Het partijbestuur van het CDA heeft huidig Kamerlid Henri Bontenbal (40) naar voren geschoven als ideale kandidaat om de ...,WNL,none
QKRifMP1aeA,2023-08-13,youtube#video,Henri Bontenbal: Een gemiste kans voor het CDA,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Maarten van Rossem ...",Maarten van Rossem - De Podcast,none
fX_kB1b_mnA,2023-08-14,youtube#video,Henri Bontenbal als CDA-redder? | NPO Radio 1,"Henri Bontenbal wordt vanmiddag gepresenteerd als lijsttrekker voor het CDA. Hij staat voor een enorme klus, zegt Joost Oranje ...",NPO Radio 1,none
hLXy4yjRQ8M,2023-08-14,youtube#video,CDA-lijsttrekker Bontenbal: &#39;Poort voor PVV en FVD blijft dicht&#39;,"De gloednieuwe lijsttrekker van het CDA, Henri Bontenbal, houdt de deur voor de PVV en FVD dicht. Lees meer: ...",WNL,none
cTkGEj5msHo,2023-08-14,youtube#video,Henri Bontenbal presenteert zich als nieuwe lijsttrekker CDA,In Amersfoort presenteert Henri Bontenbal zich als de nieuwe lijsttrekker voor het CDA. Hij staat voor een fatsoenlijk land.,CDA,none
MkFV9eoYchM,2023-08-14,youtube#video,Henri Bontenbal voor een fatsoenlijk land.,"""Ik sta voor een fatsoenlijk land waar omzien naar elkaar en waarden en normen niet ouderwets maar juist vanzelfsprekend zijn.",CDA,none
cCUl7qMsI-g,2023-08-15,youtube#video,Niemand kent nieuwe CDA-leider Bontenbal,Henri Bontenbal is de nieuwe leider van het amper nog noemenswaardige CDA. De partij die ooit stond voor boerenverstand en ...,Omroep PowNed,none
Oq5NS8G8reI,2023-08-15,youtube#video,CDA-leider Henri Bontenbal wil CDA VERZOENEN met PIETER OMTZIGT,"Dit is het TPO Ochtendnieuws van woensdag 15 augustus. Henri Bontebal, de nieuwe leider van het CDA, heeft in het door de ...",ThePostOnline TPO,none
BpXGuI16DpM,2023-08-15,youtube#video,CDA-prominent Gerd Leers: ‘CDA moet PVV op voorhand niet uitsluiten’,Partijprominent Gerd Leers vindt het onverstandig dat CDA-lijstrekker Henri Bontenbal een samenwerking met de PVV op ...,WNL,none
ofZxmuFcOEM,2023-08-16,youtube#video,CDA-lijsttrekker Henri Bontenbal wil premier worden: &#39;Maar voeten aan de grond&#39;,"Mocht het CDA de aankomende Tweede Kamerverkiezingen winnen, dan wil lijsttrekker Henri Bontenbal minister-president ...",WNL,none
_npeXlq34Do,2023-08-16,youtube#video,Johan wordt nu al moe van nieuwe CDA-leider Bontenbal: &#39;Gereformeerde predikant&#39; | VANDAAG INSIDE,Johan wordt nu al moe van de nieuwe CDA-leider Henri Bontenbal. Kijk iedere werkdag om 21.35u naar Vandaag Inside op ...,Vandaag Inside,none
y7irqJj-_1Q,2023-08-20,youtube#video,Wij kiezen voor het midden,Soms lijkt het alsof we alleen nog maar kunnen schreeuwen. In de Tweede Kamer of op straat. Maar zo wordt samenleven én ...,CDA,none
ry5ZWVMQqDk,2023-08-26,youtube#video,"PIETER OMTZIGT 31 zetels, CDA slechts DRIE zetels",https://tpo.nl Dit is het TPO Audionieuws van zaterdag 26 augustus. Als er nu verkiezingen zouden worden gehouden zou nieuw ...,ThePostOnline TPO,none
wpqgRUdIXeI,2023-08-27,youtube#video,Hans van Gerrevink - CDA Apeldoorn - Vlog #69,Ik neem je kort mee in de gemeentepolitiek van Apeldoorn. Wat speelde er en wat staat er op de agenda. Kijk je mee?,Hans van Gerrevink CDA,none
dtqOl8WyI2w,2023-09-02,youtube#video,Een land met twee gezichten - Hannie van Leeuwen-lezing met Henri Bontenbal,Een land met twee gezichten. Zo ziet Henri Bontenbal Nederland. In zijn Hannie van Leeuwen-lezing stelt hij dat Nederland niet ...,CDA,none
fNjG8q8T-IM,2023-09-02,youtube#video,Waarom ging Mona Keijzer niet terug naar het CDA? | Op1,Ik heb geprobeerd dat schip weer terug te krijgen. Op een gegeven moment moet je concluderen dat dat niet meer bij elkaar past” ...,Op1,none
iL6PGMVm5T8,2023-09-04,youtube#video,Bontenbal (CDA) wil &#39;terug naar sociaal-conservatief karakter van toen&#39;,Dit is een fragment uit The Daily Move met presentatoren Kees Dorresteijn en Liesbeth Staats. Te gast zijn politiek verslaggever ...,BNR,none
214dU9TcV8s,2023-09-05,youtube#video,Bontenbal (CDA) over eventuele kabinetsdeelname: ‘Gaan onze huid duur verkopen’,CDA-lijsttrekker Henri Bontenbal weet nog niet of hij met zijn partij wil deelnemen aan een nieuwe coalitie na de Tweede ...,WNL,none
d-KMnL4Wmz0,2023-09-05,youtube#video,Pieter Heerma draagt het stokje over: Henri Bontenbal fractievoorzitter CDA!,,CDA,none
Og7WMlCOQE4,2023-09-15,youtube#video,"Senate Budget Hearing | September 14, 2023 | COOPERATIVE DEVELOPMENT AUTHORITY (CDA)",,CDA Philippines,none
eR9Ynh4cWeA,2023-09-16,youtube#video,Hen... wie? - HENRI De Podcast #1,"In deze aflevering: Henri's wervelende start, 'Straaljager' Hannie van Leeuwen, Jonathan Sacks, Herman Finkers en Dostojevski.",CDA,none
IBpZc4A-Zrc,2023-09-17,youtube#video,Transmissão em Direto | CDA vs ACRAC | 1º Jornada  - Liga Comtesse Lisbonne,CDATV​​ #CDA​​ #ClubeDesportivoDeAlcains​#LigaComtesseLisbonne Subscrevam aqui o nosso canal de YouTube ...,CDA TV,none
X8TKzVR4Bas,2023-09-18,youtube#video,CDA launches crackdown against illegal constructions and encroachments,CDA launches crackdown against illegal constructions and encroachments Do not miss an important news update ever.,Geo News,none
So515ayUxQk,2023-09-18,youtube#video,Big Operation Against Illegal Constructions by CDA in Islamabad | Breaking News | Dawn News,CDA Ka Bara Operation | Breaking News | Dawn News سے ڈی اے کا بڑا آپریشن #CDA #flot #fakefiles #flotfakefiles ...,DawnNews,none
C-SkOUO3BOg,2023-09-20,youtube#video,Wilders (PVV) VS CDA: &quot;Ik ben VERDORIE niet gekozen voor Oekraïne! Ik ben een Nederlands politicus!&quot;,Deze video is gemaakt door PolitiekTV* Tijdens debat van 20-9-2023 Bedankt voor het kijken naar onze video! Abonneer voor ...,Politiek TV,none
-7rTJUXQLDU,2023-09-20,youtube#video,Volledige inbreng Henri Bontenbal tijdens de Algemene Politieke Beschouwingen,,CDA,none
lifo3qKUaFc,2023-09-22,youtube#video,Gratis bier bestaat niet - HENRI De Podcast #2,"In deze aflevering: een liefdesverklaring van Sanne Wallis de Vries, de Algemene Politieke Beschouwingen, bestaanszekerheid, ...",CDA,none
DTWHvrQ6h0k,2023-09-23,youtube#video,&quot;Een fatsoenlijk land.&quot; - Henri Bontenbal op het #CDAcongres,"""Een fatsoenlijk land. Niet voor onszelf, maar voor ons allemaal!"" Met die woorden sloot Henri Bontenbal zijn toespraak op het ...",CDA,none
vPSGsvdBN94,2023-09-23,youtube#video,Kijk live mee met het CDA Partijcongres!,Kijk live mee met het CDA Partijcongres vanuit Den Bosch! Alle informatie over het congres kunt u vinden op ...,CDA,none
UoRAxojF4lQ,2023-09-27,youtube#video,Is partij van Omtzigt het nieuwe CDA? | NPO Radio 1,Pieter Omtzigt's nieuwe partij NSC (Nieuw Sociaal Contract) presenteerde zijn kieslijst met 44 namen. Wat betekent dit voor de ...,NPO Radio 1,none
Lmb5KLaP37I,2023-09-27,youtube#video,Wordt Nieuw Sociaal Contract een CDA 3.0? &#39;Helemaal niet uitgesloten&#39;,Pieter Omtzigt presenteerde dinsdagavond 44 kandidaten op de lijst voor zijn partij Nieuw Sociaal Contract (NSC) voor de ...,WNL,none
JvjgjBCorgo,2023-09-29,youtube#video,Henri Bontenbal bij BNR The Friday Move,Presentatie Wilfred Genee en aan tafel Leendert Beekman en Sanne Wallis de Vries.,CDA,none
tooEMr_fwfY,2023-09-30,youtube#video,Henri Bontenbal (CDA) boos over vraag: &#39;Ik ben het spuugzat&#39;,Dit is een fragment uit The Friday Move met presentator Wilfred Genee en co-host Sanne Wallis de Vries. Te gast zijn CDA-leider ...,BNR,none
xoAtP3ubZys,2023-10-01,youtube#video,CDA-leider Henri Bontenbal wil importheffingen op Chinese elektrische auto&#39;s,Volgens CDA-lijsttrekker Henri Bontenbal moeten er importbeperkingen opgelegd worden aan Chinese elektrische auto's als ...,WNL,none
btOgV4j1u2E,2023-10-06,youtube#video,Canada Lacks Leverage in Clash with India: Vincent Rigby,"In this week's Expert Series, Vincent Rigby discusses the recent tensions between Canada and India. Rigby emphasizes that the ...",CDA Institute,none
TRKPQQcrpWY,2023-10-08,youtube#video,Transmissão em Direto | CDA vs CA Fundão  | 4º Jornada  - Liga Comtesse Lisbonne,CDATV​​ #CDA​​ #ClubeDesportivoDeAlcains​#LigaComtesseLisbonne Subscrevam aqui o nosso canal de YouTube ...,CDA TV,none
HTI2Oxnbfzw,2023-10-13,youtube#video,Henri Bontenbal te gast bij Op1,"Presentatie Sven Kockelmann en Tijs van den Brink, met aan tafel Hanke Bruins Slot en Annemarie Litjens.",CDA,none
KNFmdajgC80,2023-10-17,youtube#video,HOMENAGEM PRA LOLY!  LUTO ETERNO🖤AO VIVO,"HOMENAGEM PRA LOLY! LUTO ETERNO  AO VIVO LINK DO CÁSSINO https://bit.ly/3ZOt2q0 PIUZINHO,CIDADE ALTA ...",TODURO RP,none
x0pV9_n2HNI,2023-10-19,youtube#video,Eline Vedder tijdens Het Grote Landbouwdebat 2023,LTO Nederland en Nieuwe Oogst organiseerden Het Grote Landbouwdebat 2023 op woensdag 18 oktober. Vanuit een ...,CDA,none
DsAdlFBAF-Y,2023-10-22,youtube#video,Transmissão em Direto | CDA vs GDC Silvares  | 6º Jornada  - Liga Comtesse Lisbonne,CDATV​​ #CDA​​ #ClubeDesportivoDeAlcains​#LigaComtesseLisbonne Subscrevam aqui o nosso canal de YouTube ...,CDA TV,none
PEXjBXe_WgA,2023-10-30,youtube#video,Een fatsoenlijk land: sterke gezinnen.,In een fatsoenlijk land zetten we gezinnen op #1. Het CDA vergroot de bestaanszekerheid van gezinnen. Stem 22 november CDA ...,CDA,none
NTLNi5U3LIk,2023-10-30,youtube#video,CDA-lijsttrekker: &#39;Geen enkele partij kan belofte om het land anders te besturen waarmaken&#39;,"Dit is een fragment uit BNR's Big Five met presentator Art Rooijakkers. Te gast is Henri Bontenbal, lijsttrekker van het CDA.",BNR,none
ecfCxfJL6kQ,2023-10-30,youtube#video,"CDA-leider verwacht geen grote overwinning BBB, maar Omtzigt gaat het CDA wel moeilijk maken","Dit is een fragment uit BNR's Big Five met presentator Art Rooijakkers. Te gast is Henri Bontenbal, lijsttrekker van het CDA.",BNR,none
ymOjTHcaEaw,2023-11-04,youtube#video,Bontenbal (CDA) x Marijnissen (SP),In het NOS op 3 Verkiezingsprogramma gaan Henri Bontenbal (CDA) en Lilian Marijnissen (SP) in gesprek met twintigers en ...,NOS op 3,none
PLAW9h0E5pQ,2023-11-05,youtube#video,Hilde Palland voor een fatsoenlijk land.,"""Familiebedrijven zijn de ruggengraat van onze economie."" Stem 22 november op Hilde Palland voor een fatsoenlijk land!",CDA,none
acZ8_0QafxI,2023-11-05,youtube#video,Jouke Spoelstra voor een fatsoenlijk land.,"""Voor ieder dorp een straatje erbij."" Stem 22 november op Jouke Spoelstra voor een fatsoenlijk land!",CDA,none
