videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
MNjCa-qzW7A,2023-07-07,youtube#video,Martin Bosma spreekt D66-troela aan op haar RACISTISCHE gedrag!,Martin Bosma spreekt D66-troela aan op haar RACISTISCHE gedrag!,KafkaNL,none
_zYkiBYCJwQ,2023-07-10,youtube#video,Rutte laat zich gaan tegen Paternotte,Mark Rutte reageert fel op een vraag van Jan Paternotte (D66). Hij voelt zich geframed en vindt dat de D66'er zich ver onder zijn ...,De Telegraaf,none
6Q9ypqWyN-w,2023-07-11,youtube#video,"Waarom stemmen mensen minder op de VVD, PvdA, CDA en D66?",Matthijs Rooduijn doet onderzoek naar het kiesgedrag en de publieke opinie omtrent populisme. Matthijs zijn achtergrond is in ...,UvA - Social Sciences & Behaviour,none
VC8MkeZ9jAA,2023-07-11,youtube#video,D66 overwoog om Mark Rutte uit het torentje te zetten | Op1,Politiek commentator Wouter de Winther becommentarieerde alle vier Ruttes kabinetten voor De Telegraaf. De krant schrijft dat ...,Op1,none
nvk7kfcstQo,2023-07-11,youtube#video,Rutte maakt GEHAKT van Paternotte (D66): Uw FRAME is GROOTST mogelijke NONSENS &amp; BENEDEN het niveau!,Deze video is gemaakt door PolitiekTV* Tijdens debat van 10-7-2023 Wil je PolitiekTV steunen? Dat kan via: ...,Politiek TV,none
aQN8m0AN59Q,2023-07-13,youtube#video,Wordt Jan Paternotte de nieuwe D66-lijsttrekker? &#39;Daar heb ik goed over nagedacht&#39;,D66-fractievoorzitter Jan Paternotte is er voor zichzelf uit of hij zich kandidaat stelt voor het lijsttrekkerschap van de partij na het ...,WNL,none
3atDvRdk4_M,2023-07-13,youtube#video,Sigrid Kaag stopt als D66-leider om bedreigingen: ‘Familie lijdt eronder’,'Wegens het grote aantal vrouwonvriendelijke berichten is besloten de commentsectie uit te zetten' Dit is een fragment uit De ...,BNR,none
lOfR9MSSUwk,2023-07-13,youtube#video,"Sigrid, bedankt!","Bedankt Sigrid, voor alles wat je voor ons als partijleider hebt gedaan! Volg ons op: YouTube ...",D66,none
1UFc1fZqNrY,2023-07-14,youtube#video,Sigrid Kaag wordt niet nog een keer lijsttrekker van D66 | Op1,"Sigrid Kaag wordt niet nog een keer lijsttrekker van D66. Ze kiest voor haar gezin, dat de bedreigingen aan haar adres niet langer ...",Op1,none
oHq_EGl3RyU,2023-07-14,youtube#video,PVV&#39;ers zijn NIET te spreken over het &#39;geschenk&#39; van D66&#39;er Sjoerdsma &amp; Dassen (VOLT) &quot;Fik der in!&quot;,,Politiek TV,none
