videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
,2012-03-28,youtube#channel,Green Left,"Progressive media for social change, created by activists from around Australia and beyond. Linked to Green Left, Australia's ...",Green Left,upcoming
4SR37IrbA6c,2023-07-07,youtube#video,GroenLinks en PvdA krijgen pak slaag van De Mos!,"Nu de Haagse coalitie is gevallen, lonkt een terugkeer als wethouder van Richard de Mos. Na jaren te zijn aangevallen door ...",Omroep PowNed,none
wYa0xBh3FSE,2023-07-09,youtube#video,Van der Plas minister-president? Klaver reageert!,"Als het aan de partijleiders van PvdA en GL ligt, gaan de twee linkse partijen met één gezamenlijke lijst en één lijsttrekker de ...",De Telegraaf,none
6Q9ypqWyN-w,2023-07-11,youtube#video,"Waarom stemmen mensen minder op de VVD, PvdA, CDA en D66?",Matthijs Rooduijn doet onderzoek naar het kiesgedrag en de publieke opinie omtrent populisme. Matthijs zijn achtergrond is in ...,UvA - Social Sciences & Behaviour,none
hWyALEjqEoA,2023-07-17,youtube#video,Linkse samenwerking gaat door: PvdA en GroenLinks met één lijst de verkiezingen in,Dit is een fragment uit The Daily Move met presentatoren Kees Dorresteijn en Liesbeth Staats. Te gast is politiek verslaggever ...,BNR,none
-c_NVUZR5Hw,2023-07-17,youtube#video,Linkse samenwerking PvdA en GroenLinks kansloos,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Maarten van Rossem ...",Maarten van Rossem - De Podcast,none
00TkuQgxBIw,2023-07-17,youtube#video,Wat kunnen we verwachten van de gezamenlijke lijst van GL en PvdA voor de aankomende verkiezingen?,Maandagmiddag was de kogel door de kerk: PvdA en GroenLinks gaan samen de Tweede Kamerverkiezingen in. Lees meer: ...,WNL,none
k-AMOZQAVyw,2023-07-17,youtube#video,Verdere samenwerking PvdA en GroenLinks? &quot;Denk dat de tijd er nu echt rijp voor is&quot;,"RTV NOF = Verrassend Dichtbij! De Streekomroep voor Noardeast-Fryslân, Dantumadiel, Tytsjerksteradiel en Achtkarspelen.",RTVNOF,none
3EoAb-l--u0,2023-07-17,youtube#video,Uitslag ledenreferendum: Bekendmaking uitslag PvdA - GroenLinks referendum,Word ook lid van de PvdA https://pvda.nl/word-lid Volg op ons ook op: https://instagram.com/partijvandearbeid ...,Partij van de Arbeid (PvdA),none
0iLGmiUdfTs,2023-07-17,youtube#video,Hans Spekman (PvdA) wil Moorman of Putters als leider van GroenLinks/PvdA,"Als de PvdA en GroenLinks (GL) fuseren in de Tweede Kamer bij de volgende verkiezingen, stemt voormalig PvdA-partijvoorzitter ...",WNL,none
