videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
dn9fGJYPm-c,2023-07-07,youtube#video,DE PVV IS ER KLAAR VOOR!,,PVVpers,none
JgfZsFfugZ0,2023-07-08,youtube#video,"Bosma (PVV): OVERHEID heeft helemaal NIKS te maken met wat iemand denkt, is de overheid goedaardig?&quot;",Deze video is gemaakt door PolitiekTV* Tijdens debat van 6-7-2023 Wil je PolitiekTV steunen? Dat kan via: ...,Politiek TV,none
4QccdPekAuk,2023-07-08,youtube#video,Sophie Hermans ziet samenwerken met Geert Wilders niet zitten | Op1,"VVD-fractievoorzitter Sophie Hermans sluit samenwerking met de PVV uit. ''Niet om zijn asielbeleid, maar om wat er eerder ...",Op1,none
jYhli0obRT8,2023-07-09,youtube#video,Leon de Jong (PVV) pakt minister aan! &#39;Je hebt iedereen in de maling genomen!&#39;,Leon de Jong (PVV) pakt minister aan! 'Je hebt iedereen in de maling genomen!',KafkaNL,none
abOeVYk6T0M,2023-07-10,youtube#video,De PVV wil meeregeren!,,PVVpers,none
p_t2CEXgj0w,2023-07-10,youtube#video,"Wilders (PVV) tegen het mentorkindje Rutte: &quot;Ik wens u het allerbeste, maar uw beleid heeft GEFAALD&quot;",Deze video is gemaakt door PolitiekTV* Tijdens debat van 10-7-2023 Wil je PolitiekTV steunen? Dat kan via: ...,Politiek TV,none
oHq_EGl3RyU,2023-07-14,youtube#video,PVV&#39;ers zijn NIET te spreken over het &#39;geschenk&#39; van D66&#39;er Sjoerdsma &amp; Dassen (VOLT) &quot;Fik der in!&quot;,,Politiek TV,none
cr_hHEgs98M,2023-07-15,youtube#video,Helder (PVV) pakt Yeşilgöz aan! &#39;Dit is volstrekt onacceptabel!&#39;,Helder (PVV) pakt Yeşilgöz aan! 'Dit is volstrekt onacceptabel!',KafkaNL,none
6wLO-0T_llA,2023-07-15,youtube#video,"Bosma (PVV): &quot;Ik ben geen albino! Positieve discriminatie bestaat niet, het is rassen haat!&quot;",,Politiek TV,none
_9OSsUizDK4,2023-07-17,youtube#video,"GENIAAL! Bosma (PVV): &quot;Een knettergekke, oh sorry, zou Vera Bergkamp kijken?&quot;",,Politiek TV,none
LmitPo4wgt4,2023-07-20,youtube#video,Bosma (PVV) zegt de wereld vaarwel: &quot;Volgens het totaal gestoorde meisje Thunberg vergaat de wereld&quot;,,Politiek TV,none
webPlAXsBE0,2023-07-24,youtube#video,Leon de Jong (PVV) pakt D66-troela aan! &#39;D66 maakt mensen KAPOT!&#39;,Leon de Jong (PVV) pakt D66-troela aan! 'D66 maakt mensen KAPOT!',KafkaNL,none
o-Lo9bvfUu0,2023-07-28,youtube#video,Dion Graus (PVV) pakt Kröger (GroenLinks) aan! &#39;Je bent toch geen WATJE?&#39;,Dion Graus (PVV) pakt Kröger (GroenLinks) aan! 'Je bent toch geen WATJE?',KafkaNL,none
KKvUgaZxUp8,2023-07-28,youtube#video,Prem wil Rutte opvolgen als premier: &#39;Sluit PVV niet uit!&#39;,Prem Radhakishun kan zomaar de nieuwe premier worden. Hij wil namelijk leider worden van PvdA/GroenLinks en die ...,Omroep PowNed,none
G6Ehzcp_OVI,2023-08-04,youtube#video,ASIELSTOP NU!,,PVVpers,none
Bw08hgbfzBU,2023-08-24,youtube#video,"Kops (PVV): &quot;De coalitie stemt STELSELMATIG moties weg, zonder überhaupt te weten wat er staat!&quot;",,Politiek TV,none
nbzPzDXx7ys,2023-09-01,youtube#video,Ik ben er wel klaar mee. Het houdt nooit op. Wat een terreur.,,PVVpers,none
zjdt4dg58HE,2023-09-03,youtube#video,Bosma (PVV): &quot;Getinte buitenlander mag door WOKE niet meer de DADER spelen omdat die moet zijn!&quot;,,Politiek TV,none
