videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
1AZVU80uewo,2023-07-07,youtube#video,‘Dit kan de VVD zich niet permitteren’,Na een nacht lang vergaderen is het de crisis binnen het kabinet over de asiel- en migratieproblematiek nog niet opgelost.,De Telegraaf,none
E-KRPywJSlU,2023-07-07,youtube#video,Ferry van Wijnen van partijcommissie Asiel en Migratie VVD wil dat Rutte voet bij stuk houdt | Op1,Ferry van Wijnen van de partijcommissie Asiel en Migratie VVD wil dat Rutte vooral voet bij stuk houdt. ''Het is wat ons betreft een ...,Op1,none
CTmkglDdVtU,2023-07-08,youtube#video,Wil de VVD gaan samenwerken met de BBB van Caroline van der Plas? | Op1,VVD-fractievoorzitter Sophie Hermans over samenwerking met BBB: ''Ik wil samenwerken met partijen die bereid zijn afspraken te ...,Op1,none
dZtT4Ua1EpA,2023-07-09,youtube#video,Hugo de Jonge: &quot;De VVD escaleerde van de kelder naar de zolder&quot; | Op1,"Even terug in de film”, zegt Hugo de Jonge. “Het ging mis op de woensdag. Daar escaleerde de VVD van de kelder naar de ...",Op1,none
HtiZeBrvONA,2023-07-10,youtube#video,Eerste kandidaat lijsttrekkerschap VVD bekend: oud-Kamerlid André Bosman,Voormalig VVD-Tweede Kamerlid André Bosman stelt zichzelf kandidaat voor het lijsttrekkerschap van de VVD. Lees meer: ...,WNL,none
4R-z3xwTEv8,2023-07-10,youtube#video,Clash tussen VVD’er en PvdD’er: ‘Jullie denken dat Nederlanders hier te dom voor zijn’,Esther Ouwehand (PvdD) onderbreekt Sophie Hermans (VVD) tijdens haar betoog. Abonneer je hier gratis: ...,De Telegraaf,none
_w07K5738Jg,2023-07-11,youtube#video,&#39;VVD woedend om mes in de rug door Kaag’,Een dag na een historische politieke dag bespreekt Wouter de Winther met Pim Sedee wat er allemaal is gebeurd in Den Haag.,De Telegraaf,none
QHoSko4FzsQ,2023-07-11,youtube#video,VVD&#39;er valt kritische journalist aan!,,KafkaNL,none
QHoSko4FzsQ,2023-07-11,youtube#video,VVD&#39;er valt kritische journalist aan!,,KafkaNL,none
1QYH43Hi4_0,2023-07-11,youtube#video,VVD-kiezer maakt duidelijk: &#39;Zij moet het niet gaan doen&#39;,Jeroen Holtrop is in de duurste straat van Nederland om te vragen wie Mark Rutte zou moeten opvolgen als leider van de VVD.,De Telegraaf,none
7hiIExfbwwk,2023-07-11,youtube#video,VVD perschef valt aan,vvd #markrutte.,Left Laser,none
a9WLoQYLti8,2023-07-11,youtube#video,Aangevallen door VVD-medewerker en Rutte stapt op,Rutte is weg maar rekenen wij ook af met de VVD ideologie? Jij kan ons helpen de hele verkiezingscampagne krachtige content ...,Left Laser,none
